0,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,都道府県
北海道,18842900,18740792,18090252,17943756,17911368,18049332,17996901,18444695,18339734,18575099,18412953,18680727,18786721,北海道
青森県,4537818,4510275,4216688,4257172,4276287,4320396,4382004,4321459,4319419,4449325,4419045,4300774,4237400,青森県
岩手県,4177032,4189237,4011356,3929072,3937600,4020906,4176552,4343512,4370197,4406235,4378074,4477389,4548239,岩手県
宮城県,8246588,8091443,7779454,7645103,7782294,7670168,8303846,8604640,8839774,9129051,9164892,9215952,9255999,宮城県
秋田県,3476808,3427817,3236009,3191093,3234019,3307052,3278485,3297659,3283743,3289759,3324417,3449795,3404560,秋田県
山形県,3770432,3916683,3617322,3509705,3666306,3698562,3741181,3889328,3794837,3861412,3964293,4192833,4200001,山形県
福島県,7656050,7589377,7284277,7003955,7037855,6563605,6939687,7396419,7451600,7423449,7510262,7569191,7594938,福島県
茨城県,11673156,12223463,11940317,11250932,11815073,12418313,12159961,12084325,12124959,12374024,12418058,13202590,13436878,茨城県
栃木県,8123034,8340725,7930930,7773376,8077550,8077407,7954928,8421675,8291804,8685035,8759336,9042333,9081920,栃木県
群馬県,7533195,7796836,7608271,7352787,7643115,7733393,7729610,7995101,8012605,8204729,8277818,8564875,8659842,群馬県
埼玉県,20762638,20974721,20601772,20146428,20767682,21560035,21212322,21648917,21369817,21740279,21913588,22624208,22739392,埼玉県
千葉県,18910612,19481747,19021046,18798650,18735564,18880315,18723605,19878268,19348841,19394745,19317779,19869324,20097008,千葉県
神奈川県,33195534,34144764,33303124,30846586,32317167,33073848,32592985,32786163,32058437,33131772,33725969,34440153,34681512,神奈川県
新潟県,8754501,8790056,8399275,8227983,8381077,8477814,8438039,8596580,8396377,8452839,8482247,8652972,8755330,新潟県
富山県,4423455,4473792,4247037,3994500,4289075,4367166,4308674,4350409,4352241,4414058,4377124,4484095,4671208,富山県
福井県,3392696,3450800,3335324,3239725,3351821,3340145,3104368,3122334,2979666,3170964,3112718,3258015,3371440,福井県
山梨県,3162208,3193256,3118204,2912448,3157722,3202798,3052630,3114481,3090340,3179458,3229767,3373609,3494004,山梨県
長野県,7799467,7990937,7603943,7413396,7665232,7864670,7676912,7765549,7808227,8039455,8024011,8219768,8396163,長野県
岐阜県,7552326,7598256,7308740,6984705,7133252,7249709,7226122,7133125,7139074,7211748,7297292,7495195,7686791,岐阜県
静岡県,16831618,17134238,16518199,15347228,15978620,16242996,16110069,16438195,16020698,16193821,16390517,16685245,17050875,静岡県
愛知県,37294676,38517117,34769632,33115226,33308598,34943167,36435606,37304557,37112216,37484280,37540486,38660060,39399921,愛知県
三重県,7457271,7799018,7345415,7000588,7437382,7453486,7678778,7949329,7626740,7617666,7867911,8033862,8261980,三重県
滋賀県,5730844,5886382,5776496,5614800,5946252,5931713,5742579,5865860,5856174,5955687,6189019,6531951,6612171,滋賀県
京都府,9720304,10232465,9636353,9331610,9545911,9748589,9684090,9662820,9734804,10130073,10243724,10422207,10356420,京都府
大阪府,38445503,38516432,37216206,35969432,36689978,37587621,37281595,37584502,37352487,37875255,37865593,38935060,38983106,大阪府
兵庫県,19782242,19889432,19545691,18198635,19374669,19401843,19586754,19885049,19957695,20187819,20260599,20703790,20612570,兵庫県
和歌山県,3617694,3576445,3479034,3312994,3459973,3565114,3585048,3632962,3461528,3340841,3488302,3323838,3439691,和歌山県
鳥取県,1938721,1875182,1811239,1764243,1728406,1728686,1724345,1755960,1740191,1784566,1805717,1858316,1867921,鳥取県
島根県,2389079,2442845,2282711,2295016,2326861,2371695,2322397,2344876,2338115,2399252,2416600,2402188,2448292,島根県
岡山県,7747112,7685426,7187438,6931711,6967481,7358897,7209354,7515509,7318193,7504334,7335415,7517032,7546237,岡山県
広島県,10976258,11527360,10743067,10226929,10409432,10818320,10357924,10549339,10926260,11219027,11348480,11429750,11352001,広島県
山口県,5814175,5927048,5700503,5522334,5791123,5825417,5813842,6021850,5985463,5594783,5966165,6116028,6158770,山口県
徳島県,2814834,2799238,2773426,2751526,2876525,2912778,2876804,2975236,2989179,3001999,2991300,3057514,3098462,徳島県
香川県,3669791,3734887,3576690,3584805,3545627,3742656,3757600,3708155,3652364,3651228,3694947,3749324,3762959,香川県
愛媛県,4847422,4802503,4557090,4502823,4644832,4916942,4571814,4736657,4653744,4706865,4771290,4895868,4801130,愛媛県
高知県,2304047,2291987,2223398,2197618,2219241,2235184,2227180,2293800,2281727,2299900,2306623,2310627,2309519,高知県
福岡県,17678298,18110568,17446882,17562696,18087698,18149484,17869287,18110247,17936983,18320115,18515258,18939538,19101711,福岡県
佐賀県,2781730,2891172,2769388,2595781,2741632,2696174,2634085,2701266,2696006,2790207,2790183,2852646,3031974,佐賀県
長崎県,4183195,4246141,4146238,4181810,4249688,4275763,4218343,4193999,4048507,4329926,4418008,4424999,4505463,長崎県
熊本県,5316764,5442916,5258062,5170722,5333655,5496111,5473096,5513724,5463984,5520190,5742955,5926934,5912739,熊本県
大分県,4027211,4107396,4105585,3830844,4135477,4182521,4186641,4229126,4201039,4238600,4150151,4290527,4408824,大分県
宮崎県,3378607,3394846,3328426,3289962,3325533,3354463,3349690,3450121,3457317,3484622,3519765,3573188,3609603,宮崎県
鹿児島県,5225426,5334536,5133004,4986193,5052273,5076441,4951666,5086246,5055271,5167096,5169167,5340863,5325984,鹿児島県
