index,prefecture,gdp,aging_rate,region,area
0,北海道,18.79,31.3,0,東北
1,青森県,4.24,32.6,0,東北
2,岩手県,4.55,32.5,0,東北
3,宮城県,9.26,27.8,0,東北
4,秋田県,3.4,36.4,0,東北
5,山形県,4.2,32.9,0,東北
6,福島県,7.59,30.9,0,東北
7,茨城県,13.44,28.9,1,関東
8,栃木県,9.08,28.0,1,関東
9,群馬県,8.66,29.4,1,関東
10,埼玉県,22.74,26.4,1,関東
11,千葉県,20.1,27.5,1,関東
12,神奈川県,34.68,25.1,1,関東
13,新潟県,8.76,31.9,2,中部
14,富山県,4.67,32.0,2,中部
15,福井県,3.37,30.2,2,中部
16,山梨県,3.49,30.3,2,中部
17,長野県,8.4,31.5,2,中部
18,岐阜県,7.69,29.8,2,中部
19,静岡県,17.05,29.5,2,中部
20,愛知県,39.4,24.9,2,中部
21,三重県,8.26,29.4,3,近畿
22,滋賀県,6.61,25.7,3,近畿
23,京都府,10.36,28.9,3,近畿
24,大阪府,38.98,27.5,3,近畿
25,兵庫県,20.61,28.8,3,近畿
26,和歌山県,3.44,32.7,3,近畿
27,鳥取県,1.87,31.6,4,中国
28,島根県,2.45,34.0,4,中国
29,岡山県,7.55,30.1,4,中国
30,広島県,11.35,29.0,4,中国
31,山口県,6.16,33.9,4,中国
32,徳島県,3.1,33.1,5,四国
33,香川県,3.76,31.5,5,四国
34,愛媛県,4.8,32.6,5,四国
35,高知県,2.31,34.8,5,四国
36,福岡県,19.1,27.6,6,九州
37,佐賀県,3.03,29.7,6,九州
38,長崎県,4.51,32.0,6,九州
39,熊本県,5.91,30.6,6,九州
40,大分県,4.41,32.4,6,九州
41,宮崎県,3.61,31.7,6,九州
42,鹿児島県,5.33,31.4,6,九州
